MAL_ID,English name,Rating,Ranked,Episodes
198,Speed Grapher,7,2105,26
199,Spirited Away,8,23,1
200,Cheeky Angel,7,1653,50
201,Video Girl Ai,8,2725,26
202,Wolf's Rain,8,803,26
203,Unknown,8,543,5
204,Unknown,8,7783,26
205,Samurai Champloo,8,105,26
206,Record of Lodoss War:Chronicles of the Heroic Knight,8,2951,26
207,Record of Lodoss War,8,1904,13
208,R.O.D - Read or Die,8,1105,26
209,R.O.D -The TV-,8,1410,26
210,Ranma ½,8,891,161
211,Unknown,8,87,26
212,Unknown,8,4200,1
213,Welcome to Pia Carrot,8,56,26
214,Welcome To Pia Carrot 2,8,54,3
215,Unknown,8,6799,26
216,Welcome to Pia Carrot! Sayaka's Love Story,8,8395,1
217,New Angel,8,84,26
218,Martian Successor Nadesico,7,1521,26
219,Martian Successor Nadesico:The Prince of Darkness,8,4595,1
220,Mystery of the Necronomicon,7,657,26
221,Unknown,8,351,26
222,Unknown,7,5005,13
223,Dragon Ball,8,535,153
225,Dragon Ball GT,8,5974,26
226,Elfen Lied,8,1382,26
227,FLCL,8,505,26
228,Hell Girl,8,1158,26
229,Ninja Nonsense,7,3939,12
230,Air Master,7,3550,26
231,Shrine of the Morning Mist,7,7429,26
232,Cardcaptor Sakura,8,346,70
233,Unknown,8,1152,78
234,Unknown,8,4958,26
235,Case Closed,7,349,1897
236,E's Otherwise,8,5178,26
237,Eureka Seven,8,426,26
238,Flame of Recca,8,2072,26
239,Gankutsuou:The Count of Monte Cristo,8,342,26
240,Genshiken,8,1136,12
241,Girls Bravo,8,6170,26
242,The Gokusen,7,1822,26
243,Gravitation,8,3562,13
244,Agatha Christie's Great Detectives Poirot and Marple,8,4105,26
245,Great Teacher Onizuka,8,44,26
246,Rave Master,7,2474,51
247,Haruka:Beyond the Stream of Time – A Tale of the Eight Guardians,8,3462,26
248,Strawberry 100%,7,4993,26
249,InuYasha,8,740,167
250,Zatch Bell!,8,1434,150
251,King From Now On!,8,1032,26
252,Unknown,8,3366,26
253,Haré+Guu,8,757,26
254,Haré+Guu Deluxe,8,780,26
255,Unknown,8,1162,26
256,Voices of a Distant Star,8,2682,1
257,Ikki Tousen,8,6153,26
258,Unknown,8,7217,4
259,Unknown,8,5198,26
260,Unknown,8,5048,13
261,Unknown,8,4278,26
262,Unknown,8,4327,26
263,Fighting Spirit,8,32,75
264,Fighting Spirit:Champion Road,8,228,1
265,Unknown,8,278,26
266,Gunparade March:A New Song for the March,7,4435,26
267,Gungrave,8,714,26
268,Golden Boy,7,507,6
269,Bleach,8,818,366
270,Hellsing,7,1586,26
271,Unknown,8,4887,26
272,Noir,8,2278,26
273,Someday's Dreamers,8,4700,26
274,Kiddy Grade,8,2683,26
275,Love♥Love?,8,8506,9
276,Mahoromatic:Automatic Maiden,7,2860,12
277,Mahoromatic ~Something More Beautiful~,7,2918,26
278,Unknown,7,4674,51
279,Requiem from the Darkness,8,2999,13
280,Animal Lane,8,4306,51
281,Unknown,8,9040,26
282,Unknown,7,2317,50
283,Anne of Green Gables,8,1012,26
284,Unknown,8,3517,26
285,Unknown,8,4422,26
286,Unknown,8,3446,26
287,Unknown,8,1779,26
288,Beyblade,8,4754,51
289,Comic Party,7,5438,13
290,Crest of the Stars,8,1046,26
291,D.C.S.S. ~Da Capo Second Season~,8,3606,26
292,Hoop Days,8,4240,26
293,Unknown,7,4758,26
294,Unknown,8,8440,13
295,Misaki Chronicle:Divergence Eve,7,6880,26
296,Dragon Drive,8,4761,38
297,Grenadier:The Beautiful Warrior,8,4815,12
298,.hack//Legend Of The Twilight,8,5343,26
299,.hack//Liminality,8,5332,4
300,3x3 Eyes,8,4559,26
301,Unknown,8,6755,26
302,Future Boy Conan,8,428,26
303,Oh! My Goddess:The Adventures of Mini-Goddess,8,3934,48
